Peso: 92.500000 | Altura: 0.000000 | IMC: inf 
Peso: 92.500000 | Altura: 1.740000 | IMC: 30.552252 
Peso: 89.199997 | Altura: 1.740000 | IMC: 29.462278 
Peso: 89.199997 | Altura: 1.850000 | IMC: 26.062819 
Peso: 72.699997 | Altura: 1.850000 | IMC: 21.241781 
Peso: 72.699997 | Altura: 1.690000 | IMC: 25.454288 
Peso: 97.300003 | Altura: 1.690000 | IMC: 34.067436 
Peso: 97.300003 | Altura: 1.970000 | IMC: 25.071505 
Peso: 64.400002 | Altura: 1.970000 | IMC: 16.594090 
Peso: 64.400002 | Altura: 1.760000 | IMC: 20.790289 
Peso: 36799754947758273963756326421306277888.000000 | Altura: 1.760000 | IMC: 11880086765580505698265107311137652736.000000 
Peso: 36799754947758273963756326421306277888.000000 | Altura: -0.000000 | IMC: inf 
Peso: 0.000000 | Altura: -0.000000 | IMC: 0.000000 
Peso: 0.000000 | Altura: 0.000000 | IMC: inf 
Peso: 4596307957781431290504161559314432.000000 | Altura: 0.000000 | IMC: inf 
Peso: 4596307957781431290504161559314432.000000 | Altura: 0.000000 | IMC: inf 
Peso: 0.000000 | Altura: 0.000000 | IMC: -nan 
Peso: 0.000000 | Altura: 0.000000 | IMC: -nan 
Peso: -1738847895644789352626316444231008256.000000 | Altura: 0.000000 | IMC: -inf 
Peso: -1738847895644789352626316444231008256.000000 | Altura: 0.000000 | IMC: -inf 
